pm1_raw,pm2_5_raw,pm10_raw,particle_bin_0_3um,particle_bin_0_5um,particle_bin_1_0um,particle_bin_2_5um,particle_bin_5_0um,particle_bin_10_0um,co2_ppm,co_ug_m3,no2_ug_m3,so2_ug_m3,o3_ug_m3,temperature_c,dew_point_c,rain_flag,precipitation_analog_val,precipitation_mm,cloud_cover_pct,solar_radiation_w_m2,station_id,campus_id,device_uid,sequence_number,battery_voltage_v,wifi_rssi_dbm,free_heap_bytes,quality_score,is_valid,is_interpolated,qc_flags,content_hash,observed_at_utc,observed_at_pk,humidity_pct,pressure_hpa,aqi
14.3,19.8,42.0,1227.6,356.4,55.4,6.9,3.4,0.8,450,159.0,8.4,5.4,41.0,27.8,24.6,False,4095,0.0,90,0.0,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,1,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,806eeb47f5aceb6dfbb2ea7878ffcb595e9a7558ea0c41dce9beeb7d3e5835a3,2026-09-14T00:00:00+00:00,2026-09-14 05:00:00,83,1005.9,77
14.8,20.5,40.6,1271.0,369.0,57.4,7.2,3.2,0.8,454,381.0,13.1,6.8,36.0,27.6,24.6,False,4095,0.0,93,0.0,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,2,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,9d9bba9113dcf810d19b5a98fd831a0f9e0e4584ab9a4d5eac610633ee193c85,2026-09-14T01:00:00+00:00,2026-09-14 06:00:00,84,1006.2,77
17.1,23.7,42.5,1469.4,426.6,66.4,8.3,3.4,0.8,459,680.0,19.4,8.6,30.0,27.9,24.7,False,4095,0.0,81,58.9,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,3,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,07ff12d747c345db08bdc3132bbea262f3bb3973467e06e89696adfcf585df15,2026-09-14T02:00:00+00:00,2026-09-14 07:00:00,83,1007.0,78
18.9,26.2,48.2,1624.4,471.6,73.4,9.2,3.9,1.0,461,851.0,22.8,10.2,33.0,29.4,24.9,False,4095,0.0,88,217.3,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,4,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,23f6d6982ebf82c8e9b88b784bc43b75b36d1ee249a7efc5474f0fe5d176b853,2026-09-14T03:00:00+00:00,2026-09-14 08:00:00,77,1007.5,78
19.9,27.7,51.9,1717.4,498.6,77.6,9.7,4.2,1.0,459,773.0,20.5,11.2,53.0,31.4,24.9,False,4095,0.0,84,408.4,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,5,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,c40951933867df1cb7b2aba46ef22b6e9d38fe56e15f7db39c4c8c9974759896,2026-09-14T04:00:00+00:00,2026-09-14 09:00:00,69,1007.7,79
21.1,29.3,54.0,1816.6,527.4,82.0,10.3,4.3,1.1,454,568.0,15.3,11.9,82.0,32.4,25.1,False,4095,0.0,16,599.2,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,6,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,04a2f6ba0a20db35a178e044d971e612005438f39d8f4f7de36deb15f8cc6ef1,2026-09-14T05:00:00+00:00,2026-09-14 10:00:00,65,1007.9,80
22.5,31.3,57.5,1940.6,563.4,87.6,11.0,4.6,1.2,450,395.0,10.9,12.0,105.0,34.1,25.6,False,4095,0.0,58,764.3,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,7,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,8f587cf18fd2cb0b68e100afd11083f03f6ab9b40e2f4a67e76bb39a25f5e441,2026-09-14T06:00:00+00:00,2026-09-14 11:00:00,61,1007.5,80
23.9,33.2,63.6,2058.4,597.6,93.0,11.6,5.1,1.3,448,311.0,8.4,11.1,118.0,34.1,25.4,False,4095,0.0,54,823.8,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,8,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,9027f3b2168b4588d6b9932e1bfc97f9b9563c02a3e8c8c7842cb52c2e57e749,2026-09-14T07:00:00+00:00,2026-09-14 12:00:00,60,1006.9,81
24.7,34.3,69.2,2126.6,617.4,96.0,12.0,5.5,1.4,446,259.0,6.6,9.6,124.0,34.0,25.1,True,1800,0.1,50,773.6,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,9,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,849fde9f339b0e46ff415ddd21e04d60a312a9ecac46f4a3c935ed629d287100,2026-09-14T08:00:00+00:00,2026-09-14 13:00:00,60,1005.9,81
24.7,34.3,72.4,2126.6,617.4,96.0,12.0,5.8,1.4,445,233.0,6.3,8.4,123.0,33.8,25.0,True,1800,0.1,22,706.7,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,10,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,b6b29f085098663a817b431a1ac4aa183ae724d9d6de44ad791706cf7a03989b,2026-09-14T09:00:00+00:00,2026-09-14 14:00:00,60,1005.2,82
24.4,33.9,73.3,2101.8,610.2,94.9,11.9,5.9,1.5,445,241.0,7.7,7.7,111.0,33.3,24.8,True,1800,0.3,66,627.9,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,11,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,8c7738743cc1ccbff81b8b3a9ac1be0b0cfd3be8caf61ee432a90bb06cba7d5d,2026-09-14T10:00:00+00:00,2026-09-14 15:00:00,61,1004.7,83
23.9,33.2,74.0,2058.4,597.6,93.0,11.6,5.9,1.5,445,274.0,10.5,7.3,91.0,32.2,25.0,True,1800,0.1,91,432.0,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,12,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,e13b3f86c97b0652c31897eebdc38f9634c5d34a013402b9cbad6fe2cac097c0,2026-09-14T11:00:00+00:00,2026-09-14 16:00:00,66,1004.5,84
23.6,32.8,73.3,2033.6,590.4,91.8,11.5,5.9,1.5,445,304.0,14.1,6.9,72.0,32.0,24.9,False,4095,0.0,70,228.4,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,13,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,e9281a42d4039d7b30f383abc01f62800019928205f1e5f8de9cd722a0f63ee2,2026-09-14T12:00:00+00:00,2026-09-14 17:00:00,66,1004.8,84
22.6,31.4,67.1,1946.8,565.2,87.9,11.0,5.4,1.3,446,324.0,19.6,6.6,54.0,30.3,24.7,False,4095,0.0,53,72.6,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,14,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,d4026e8409366cb5ff6e6e5acfac13435caaa8a4f9a56d3fe7d2809b87cfffa0,2026-09-14T13:00:00+00:00,2026-09-14 18:00:00,72,1005.3,85
21.2,29.5,58.8,1829.0,531.0,82.6,10.3,4.7,1.2,447,340.0,26.0,6.3,37.0,28.9,25.7,False,4095,0.0,41,0.0,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,15,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,1c55ca9c0dfb8907bdfbee080b280c4082f28b72a7b2ba91099af53415a25a8f,2026-09-14T14:00:00+00:00,2026-09-14 19:00:00,83,1005.9,85
18.3,25.4,49.2,1574.8,457.2,71.1,8.9,3.9,1.0,448,338.0,29.8,6.3,25.0,28.6,25.7,False,4095,0.0,82,0.0,EXT-OPEN-METEO-KHI,KARACHI,OPENSOURCE_API_GRID,16,,,,0.95,True,False,TIER2_OPENSOURCE_PURE;VERIFIED_MODEL_GRID,b9237c8011e52a19e5d5768d15bc37e2243da760799959cc88ed44a743ca96ad,2026-09-14T15:00:00+00:00,2026-09-14 20:00:00,84,1006.9,85
