pm1_raw,pm2_5_raw,pm10_raw,particle_bin_0_3um,particle_bin_0_5um,particle_bin_1_0um,particle_bin_2_5um,particle_bin_5_0um,particle_bin_10_0um,co2_ppm,co_ug_m3,no2_ug_m3,so2_ug_m3,o3_ug_m3,temperature_c,dew_point_c,rain_flag,precipitation_analog_val,precipitation_mm,cloud_cover_pct,solar_radiation_w_m2,station_id,campus_id,device_uid,sequence_number,battery_voltage_v,wifi_rssi_dbm,free_heap_bytes,quality_score,is_valid,is_interpolated,qc_flags,content_hash,observed_at_utc,observed_at_pk,humidity_pct,pressure_hpa,aqi
20.0,20.0,21.0,1240.0,360.0,56.0,7.0,1.7,0.4,447,157.0,7.9,5.3,37.0,33.8,25.37,False,4095,0.0,95,0.0,d27d297e-22a9-4cb2-a9a9-d5ca041b3337,a847b7ca-8167-49e9-a3f6-bfcc35193c69,AIRSENSE-NODE-KHI-01,1194,4.12,-65,184320,0.87,True,False,CROSS_VALIDATED;TEMP_DISCREPANCY_MODERATE;HUMIDITY_DISCREPANCY_MODERATE;PM_CONVERGENT,4cbb5dde6f413bc0c9b416c2259af0a749e9b5d6b4af2386d6b843a587ab529c,2026-09-14T19:00:03+00:00,2026-09-15 00:00:03,61.5,1004.0,84
20.0,20.0,21.0,1240.0,360.0,56.0,7.0,1.7,0.4,447,157.0,7.9,5.3,37.0,33.8,25.37,False,4095,0.0,95,0.0,d27d297e-22a9-4cb2-a9a9-d5ca041b3337,a847b7ca-8167-49e9-a3f6-bfcc35193c69,AIRSENSE-NODE-KHI-01,1195,4.12,-65,184320,0.87,True,False,CROSS_VALIDATED;TEMP_DISCREPANCY_MODERATE;HUMIDITY_DISCREPANCY_MODERATE;PM_CONVERGENT,d33d55ce7d660530159667d5b5f949c0e6d2568b26e1c132a18e5b2f09bd597b,2026-09-14T19:00:08+00:00,2026-09-15 00:00:08,61.5,1004.0,84
20.0,20.0,21.0,1240.0,360.0,56.0,7.0,1.7,0.4,447,157.0,7.9,5.3,37.0,33.8,25.37,False,4095,0.0,95,0.0,d27d297e-22a9-4cb2-a9a9-d5ca041b3337,a847b7ca-8167-49e9-a3f6-bfcc35193c69,AIRSENSE-NODE-KHI-01,1196,4.12,-65,184320,0.87,True,False,CROSS_VALIDATED;TEMP_DISCREPANCY_MODERATE;HUMIDITY_DISCREPANCY_MODERATE;PM_CONVERGENT,1ee33d5c75a41f3a375a303531055859907a45b8fba7ba097731b45c5e438276,2026-09-14T19:00:13+00:00,2026-09-15 00:00:13,61.5,1004.0,84
20.0,20.0,20.0,1240.0,360.0,56.0,7.0,1.6,0.4,447,157.0,7.9,5.3,37.0,33.8,25.37,False,4095,0.0,95,0.0,d27d297e-22a9-4cb2-a9a9-d5ca041b3337,a847b7ca-8167-49e9-a3f6-bfcc35193c69,AIRSENSE-NODE-KHI-01,1197,4.12,-65,184320,0.87,True,False,CROSS_VALIDATED;TEMP_DISCREPANCY_MODERATE;HUMIDITY_DISCREPANCY_MODERATE;PM_CONVERGENT,4913ec8f586310ab5931e4340fca8b68fc309cf94fef665f92a8e9d8bae9c2de,2026-09-14T19:00:18+00:00,2026-09-15 00:00:18,61.5,1004.0,84
19.0,19.0,19.0,1178.0,342.0,53.2,6.6,1.5,0.4,447,157.0,7.9,5.3,37.0,33.8,25.37,False,4095,0.0,95,0.0,d27d297e-22a9-4cb2-a9a9-d5ca041b3337,a847b7ca-8167-49e9-a3f6-bfcc35193c69,AIRSENSE-NODE-KHI-01,1198,4.12,-65,184320,0.87,True,False,CROSS_VALIDATED;TEMP_DISCREPANCY_MODERATE;HUMIDITY_DISCREPANCY_MODERATE;PM_CONVERGENT,59e3cbb14d0b80dc65fad65e90f888f586c8cb3a675bdcd16c13e785310d5315,2026-09-14T19:00:23+00:00,2026-09-15 00:00:23,61.5,1004.0,84
19.0,20.0,20.0,1240.0,360.0,56.0,7.0,1.6,0.4,447,157.0,7.9,5.3,37.0,33.8,25.37,False,4095,0.0,95,0.0,d27d297e-22a9-4cb2-a9a9-d5ca041b3337,a847b7ca-8167-49e9-a3f6-bfcc35193c69,AIRSENSE-NODE-KHI-01,1199,4.12,-65,184320,0.87,True,False,CROSS_VALIDATED;TEMP_DISCREPANCY_MODERATE;HUMIDITY_DISCREPANCY_MODERATE;PM_CONVERGENT,24948c23e7690f9c385d6913db5aaa2f722e6e97358e9ba6c28882add8cd5f6e,2026-09-14T19:00:28+00:00,2026-09-15 00:00:28,61.5,1004.1,84
20.0,20.0,20.0,1240.0,360.0,56.0,7.0,1.6,0.4,447,157.0,7.9,5.3,37.0,33.8,25.37,False,4095,0.0,95,0.0,d27d297e-22a9-4cb2-a9a9-d5ca041b3337,a847b7ca-8167-49e9-a3f6-bfcc35193c69,AIRSENSE-NODE-KHI-01,1200,4.12,-65,184320,0.87,True,False,CROSS_VALIDATED;TEMP_DISCREPANCY_MODERATE;HUMIDITY_DISCREPANCY_MODERATE;PM_CONVERGENT,6edb084e64edba54c9e966134b5d20e2182b8d80321c021fc1f7a3cf33c9d7c9,2026-09-14T19:00:33+00:00,2026-09-15 00:00:33,61.5,1004.0,84
20.0,20.0,20.0,1240.0,360.0,56.0,7.0,1.6,0.4,447,157.0,7.9,5.3,37.0,33.8,25.37,False,4095,0.0,95,0.0,d27d297e-22a9-4cb2-a9a9-d5ca041b3337,a847b7ca-8167-49e9-a3f6-bfcc35193c69,AIRSENSE-NODE-KHI-01,1201,4.12,-65,184320,0.87,True,False,CROSS_VALIDATED;TEMP_DISCREPANCY_MODERATE;HUMIDITY_DISCREPANCY_MODERATE;PM_CONVERGENT,e5b484ed00e27a32049e76be88f8164fdf878e3e7d19a5b9b3bddd0c96b86643,2026-09-14T19:00:38+00:00,2026-09-15 00:00:38,61.5,1004.0,84
19.0,20.0,20.0,1240.0,360.0,56.0,7.0,1.6,0.4,447,157.0,7.9,5.3,37.0,33.8,25.37,False,4095,0.0,95,0.0,d27d297e-22a9-4cb2-a9a9-d5ca041b3337,a847b7ca-8167-49e9-a3f6-bfcc35193c69,AIRSENSE-NODE-KHI-01,1202,4.12,-65,184320,0.87,True,False,CROSS_VALIDATED;TEMP_DISCREPANCY_MODERATE;HUMIDITY_DISCREPANCY_MODERATE;PM_CONVERGENT,a4b15592a198dbdabb44e7db1987489d2500a6c5544316f673e45744a248e480,2026-09-14T19:00:43+00:00,2026-09-15 00:00:43,61.5,1004.0,84
19.0,19.0,19.0,1178.0,342.0,53.2,6.6,1.5,0.4,447,157.0,7.9,5.3,37.0,33.8,25.37,False,4095,0.0,95,0.0,d27d297e-22a9-4cb2-a9a9-d5ca041b3337,a847b7ca-8167-49e9-a3f6-bfcc35193c69,AIRSENSE-NODE-KHI-01,1203,4.12,-65,184320,0.87,True,False,CROSS_VALIDATED;TEMP_DISCREPANCY_MODERATE;HUMIDITY_DISCREPANCY_MODERATE;PM_CONVERGENT,d9cc50cc1e3b812abb1916d8b8bfdb867195b78ebd6771a52147f01ed2899189,2026-09-14T19:00:48+00:00,2026-09-15 00:00:48,61.5,1004.0,84
